District,Uncovered_villages,Total_villages,bubble_size,color
khordha,728,1547,47.06,darkred
kendrapara,505,1548,32.62,darkred
puri,227,1711,13.27,orange
jajapur,230,1791,12.84,orange
gajapati,186,1617,11.5,orange
deogarh,84,879,9.56,gold
cuttack,111,1959,5.67,gold
sambalpur,73,1317,5.54,gold
nayagarh,82,1701,4.82,green
rayagada,127,2672,4.75,green
koraput,92,2029,4.53,green
kandhamal,114,2591,4.4,green
kalahandi,71,2257,3.15,green
boudh,37,1188,3.11,green
malkangiri,30,972,3.09,green
sundargarh,49,1773,2.76,green
anugul,44,1888,2.33,green
kendujhar,44,2130,2.07,green
nuapada,13,670,1.94,green
jagatsinghapur,23,1296,1.77,green
sonepur,14,965,1.45,green
bargarh,12,1214,0.99,green
balangir,16,1791,0.89,green
ganjam,25,3232,0.77,green
nabarangpur,6,892,0.67,green
dhenkanal,8,1213,0.66,green
mayurbhanj,10,3953,0.25,green
baleshwar,4,2935,0.14,green
jharsuguda,0,356,0.0,green
bhadrak,0,1317,0.0,green
